country_code,region_name,club_name
BY,=====================================,FC BATE Borisov
BY,=====================================,FC Gomel
BY,=====================================,FC Dinamo Minsk
BY,=====================================,FC Dinamo-93 Minsk (1992-1998)
BY,=====================================,FC Partizan Minsk
BY,=====================================,FC Minsk
BY,=====================================,FC Dnepr Mogilev
BY,=====================================,FC Shakhtyor Soligorsk
BY,=====================================,FC Naftan Novopolotsk
BY,=====================================,FC Torpedo Zhodino
BY,=====================================,FC Dinamo Brest
BY,=====================================,FC Neman Grodno
BY,=====================================,FC Isloch
BY,=====================================,FC Gorodeya
BY,=====================================,SFC Slutsk
BY,=====================================,FC Slavia-Mozyr
BY,=====================================,FC Vitebsk
BY,=====================================,FC Zvezda-BGU Minsk
BY,=====================================,FC Dnyapro Mogilev
BY,=====================================,FC Torpedo-SKA Minsk
BY,=====================================,FC Belshina Bobruisk
BY,=====================================,FC Smorgon
BY,=====================================,FC Arsenal Dzerzhinsk
BE,Brussels,RSC Anderlecht
BE,Brussels,RWD Molenbeek
BE,Brussels,Saint-Gilloise
BE,Antwerpen › Vlaanderen,Royal Antwerp FC
BE,Antwerpen › Vlaanderen,K. Beerschot VA
BE,Antwerpen › Vlaanderen,Germinal Beerschot (1920-2013)
BE,Antwerpen › Vlaanderen,Beerschot VAC (1899-1999)
BE,Antwerpen › Vlaanderen,KV Mechelen
BE,Antwerpen › Vlaanderen,KVC Westerlo
BE,Antwerpen › Vlaanderen,K Lierse SK
BE,Limburg › Vlaanderen,KRC Genk
BE,Limburg › Vlaanderen,Waterschei Thor (1919-1988)
BE,Limburg › Vlaanderen,Sint-Truidense VV
BE,Limburg › Vlaanderen,Lommel United
BE,Limburg › Vlaanderen,Patro Eisden
BE,Oost-Vlaanderen › Vlaanderen,KAA Gent
BE,Oost-Vlaanderen › Vlaanderen,KSC Lokeren OV
BE,Oost-Vlaanderen › Vlaanderen,SC Eendracht Aalst
BE,Oost-Vlaanderen › Vlaanderen,FCV Dender EH
BE,Oost-Vlaanderen › Vlaanderen,Waasland-Beveren
BE,Oost-Vlaanderen › Vlaanderen,KSK Beveren
BE,Oost-Vlaanderen › Vlaanderen,KMSK Deinze
BE,West-Vlaanderen › Vlaanderen,Club Brugge
BE,West-Vlaanderen › Vlaanderen,Cercle Brugge
BE,West-Vlaanderen › Vlaanderen,KV Kortrijk
BE,West-Vlaanderen › Vlaanderen,KV Oostende
BE,West-Vlaanderen › Vlaanderen,SV Zulte Waregem
BE,West-Vlaanderen › Vlaanderen,KSV Waregem (1925-2001)
BE,Hainaut › Wallonie,Sporting Charleroi
BE,Hainaut › Wallonie,Royal Excel Mouscron
BE,Hainaut › Wallonie,RAEC Mons
BE,Luxembourg › Wallonie,Excelsior Virton
BE,Liège   › Wallonie,KAS Eupen
BE,Liège   › Wallonie,Standard Liège
BE,Liège › Wallonie,RFC Liège
BE,???,KFC Verbroedering Geel
BE,???,KRC Harelbeke
BE,???,K Heusden-Zolder
BE,???,KFC Lommel SK
BE,???,RAA Louviéroise
BE,???,KSV Roeselare
BE,???,RFC Seraing
BE,???,AFC Tubize
BE,???,Oud-Heverlee Leuven
BA,====================================,FK Sarajevo
BA,====================================,FK Slavija Sarajevo
