country_code,region_name,club_name
DE,Bayern,Bayern München
DE,Bayern,Säbener Straße 51-57 // 81547 München
DE,Bayern,ii) Bayern München II
DE,Bayern,TSV 1860 München
DE,Bayern,Grünwalder Straße 114 // 81547 München
DE,Bayern,Türkgücü München
DE,Bayern,1. FC Nürnberg
DE,Bayern,Valznerweiherstraße 200 // 90480 Nürnberg
DE,Bayern,ii) 1. FC Nürnberg II
DE,Bayern,SpVgg Greuther Fürth
DE,Bayern,Laubenweg 60 // 90765 Fürth
DE,Bayern,ii) SpVgg Greuther Fürth II
DE,Bayern,FC Augsburg
DE,Bayern,Donauwörther Str. 170 // 86154 Augsburg
DE,Bayern,ii) FC Augsburg II
DE,Bayern,TSV Schwaben Augsburg
DE,Bayern,SpVgg Unterhaching
DE,Bayern,FC Ingolstadt 04
DE,Bayern,Am Sportpark 1 // 85053 Ingolstadt
DE,Bayern,SSV Jahn Regensburg
DE,Bayern,1. FC Schweinfurt 05
DE,Bayern,Würzburger Kickers
DE,Bayern,Wacker Burghausen
DE,Bayern,Viktoria Aschaffenburg
DE,Bayern,TSV 1860 Rosenheim
DE,Bayern,FV Illertissen
DE,Bayern,SpVgg Bayreuth
DE,Bayern,TSV Aubstadt
DE,Bayern,TSV Buchbach
DE,Bayern,VfB Eichstätt
DE,Bayern,SV Heimstetten
DE,Bayern,SV Schalding-Heining
DE,Bayern,FC Memmingen
DE,Bayern,VfR Garching
DE,Bayern,TSV 1896 Rain
DE,Bayern,DJK Vilzing
DE,Bayern,SpVgg Ansbach
DE,Bayern,SpVgg Hankofen-Hailing
DE,Bayern,FC Eintracht Bamberg
DE,Bayern,FC Pipinsried
DE,Bayern,SC Eltersdorf
DE,Nordrhein-Westfalen,1. FC Köln
DE,Nordrhein-Westfalen,Franz-Kremer-Allee 1 // 50937 Köln
DE,Nordrhein-Westfalen,Fortuna Köln
DE,Nordrhein-Westfalen,FC Viktoria Köln
DE,Nordrhein-Westfalen,Fortuna Düsseldorf
DE,Nordrhein-Westfalen,Arena Straße 1 // 40474 Düsseldorf
DE,Nordrhein-Westfalen,Borussia Dortmund
DE,Nordrhein-Westfalen,Rheinlanddamm 207-209 // 44137 Dortmund
DE,Nordrhein-Westfalen,ii) Borussia Dortmund II
DE,Nordrhein-Westfalen,FC Schalke 04
DE,Nordrhein-Westfalen,Ernst-Kuzorra-Weg 1 // 45891 Gelsenkirchen
DE,Nordrhein-Westfalen,Bayer 04 Leverkusen
DE,Nordrhein-Westfalen,Bismarckstr. 122 - 124 // 51373 Leverkusen
DE,Nordrhein-Westfalen,MSV Duisburg
DE,Nordrhein-Westfalen,Bor. Mönchengladbach
DE,Nordrhein-Westfalen,Hennes-Weisweiler-Allee 1 // 41179 Mönchengladbach
DE,Nordrhein-Westfalen,VfL Bochum
DE,Nordrhein-Westfalen,Castroper Straße 145 // 44791 Bochum
DE,Nordrhein-Westfalen,SG Wattenscheid 09
DE,Nordrhein-Westfalen,Arminia Bielefeld
DE,Nordrhein-Westfalen,Melanchthonstraße 31a // 33615 Bielefeld
DE,Nordrhein-Westfalen,Preußen Münster
DE,Nordrhein-Westfalen,Gütersloh
DE,Nordrhein-Westfalen,KFC Uerdingen
