country_code,region_name,club_name
SI,===============================,NK Olimpija Ljubljana
SI,===============================,NK IB Ljubljana
SI,===============================,NK Bravo
SI,===============================,NK Maribor
SI,===============================,NŠ Mura
SI,===============================,ND Mura 05 (2005-2013)
SI,===============================,NK Mura (1924-2005)
SI,===============================,FC Koper
SI,===============================,ND Gorica
SI,===============================,NK Domžale
SI,===============================,NK Rudar Velenje
SI,===============================,NK Celje
SI,===============================,NK Aluminij
SI,===============================,ASK Bravo Publikum
SI,===============================,NK Tabor Sezana
SI,===============================,NK Triglav
SI,===============================,NK Radomlje
SI,===============================,NK Nafta 1903
SI,===============================,NK Krško
SI,===============================,NK Primorje (1924-2011)
SI,===============================,ND Primorje
SI,===============================,MNK Izola
SI,===============================,NK Izola (1923-1996)
SI,===============================,NK Rogaška
SI,===============================,NK Bistrica
SI,===============================,ND Beltinci
ES,Comunidad de Madrid,Atlético Madrid
ES,Comunidad de Madrid,ii) Atlético Madrid B
ES,Comunidad de Madrid,Real Madrid
ES,Comunidad de Madrid,ii) Real Madrid B
ES,Comunidad de Madrid,Getafe CF
ES,Comunidad de Madrid,Rayo Vallecano
ES,Comunidad de Madrid,AD Alcorcón
ES,Comunidad de Madrid,CF Fuenlabrada
ES,Comunidad de Madrid,CF Rayo Majadahonda
ES,Andalucía,Málaga CF
ES,Andalucía,ii) Málaga CF B
ES,Andalucía,Sevilla FC
ES,Andalucía,ii) Sevilla FC B
ES,Andalucía,Real Betis
ES,Andalucía,Algeciras CF
ES,Andalucía,UD Almería
ES,Andalucía,Cádiz CF
ES,Andalucía,Córdoba CF
ES,Andalucía,Écija Balompié
ES,Andalucía,Real Jaén CF
ES,Andalucía,Granada CF
ES,Andalucía,Granada 74
ES,Cataluña,FC Barcelona
ES,Cataluña,ii) FC Barcelona B
ES,Cataluña,RCD Espanyol
ES,Cataluña,UE Sant Andreu
ES,Cataluña,Gimnàstic Tarragona
ES,Cataluña,Girona FC
ES,Cataluña,CF Reus
ES,Cataluña,Lleida Esportiu
ES,Cataluña,UE Lleida (1939-2011)
ES,Galicia,RCD La Coruña
ES,Galicia,RC Celta Vigo
ES,Galicia,SD Compostela
ES,Galicia,Racing Ferrol
ES,Comunidad Valenciana,Valencia CF
ES,Comunidad Valenciana,Levante UD
ES,Comunidad Valenciana,Alicante CF
ES,Comunidad Valenciana,Hércules CF
ES,Comunidad Valenciana,CD Alcoyano
ES,Comunidad Valenciana,Elche CF
ES,Comunidad Valenciana,CD Castellón
ES,Comunidad Valenciana,Villarreal CF
ES,Comunidad Valenciana,ii) Villarreal CF B
ES,Comunidad Valenciana,CD Eldense
ES,País Vasco,Real Sociedad
ES,País Vasco,ii) Real Sociedad B
ES,País Vasco,Deportivo Alavés
ES,País Vasco,SD Eibar
ES,País Vasco,Athletic Club Bilbao
ES,País Vasco,ii) Athletic Club Bilbao B
ES,Asturias,Sporting Gijón
ES,Castilla-La Mancha,Albacete Balompié
ES,Castilla-La Mancha,CD Guadalajara
ES,Extremadura,CD Badajoz
ES,Extremadura,CF Extremadura (-2010)
ES,Extremadura,Extremadura UD
ES,Extremadura,CP Mérida
ES,Extremadura,Mérida AD
ES,Castilla y León,Burgos CF
ES,Castilla y León,CD Mirandés
ES,Región de Murcia,Real Murcia CF
ES,Región de Murcia,UCAM Murcia
ES,Región de Murcia,CF Ciudad de Murcia
ES,Región de Murcia,FC Cartagena
ES,Aragón,Real Zaragoza
ES,Aragón,SD Huesca
ES,Islas Canarias,UD Las Palmas
ES,Islas Canarias,Universidad Las Palmas
ES,Islas Baleares,RCD Mallorca
ES,Islas Baleares,ii) RCD Mallorca B
ES,Islas Baleares,CD Atlético Baleares
ES,Canarias,CD Tenerife
ES,???,CA Osasuna
ES,???,CD Leganés
ES,???,Cultural Leonesa
ES,???,UE Llagostera
ES,???,CD Logroñés
ES,???,UD Logroñés
ES,???,SD Logroñés
ES,???,Lorca FC
ES,???,CD Lugo
ES,???,CD Numancia
ES,???,CD Ourense
ES,???,Real Oviedo
ES,???,Polideportivo Ejido
ES,???,SD Ponferradina
ES,???,Pontevedra CF
ES,???,Real Unión
ES,???,Recreativo Huelva
ES,???,CE Sabadell
ES,???,UD Salamanca
ES,???,Real Racing Santander
ES,???,Terrassa FC
ES,???,CD Toledo
ES,???,Real Valladolid CF
ES,???,UD Vecindario
ES,???,Xerez CD
ES,???,Real Madrid Castilla
ES,???,Club Marino Luanco
ES,???,CF Illueca
ES,???,UD Socuéllamos
ES,???,UM Escobedo
ES,???,Gimnástica Segoviana
ES,???,Zamora CF
ES,???,Comillas CF
ES,???,CD El Álamo
ES,???,El Palmar CF
ES,???,Bergantiños FC
ES,???,Tolosa CF
ES,???,CF Badalona
ES,???,CA Antoniano
ES,???,CD Peña Azagresa
ES,???,CD Becerril
ES,???,UD Melilla
ES,???,SD Amorebieta
ES,???,UD Ibiza
ES,???,CD Ebro
ES,???,CF Villanovense
ES,???,Union Mutilvera
ES,???,CD Calahorra
ES,???,Lorca FC (2003-2022)
ES,???,CF Lorca Deportiva
