country_code,region_name,club_name
JM,=================,Arnett Gardens
JM,=================,Cavalier
JM,=================,Harbour View
JM,=================,Molynes United
JM,=================,Tivoli Gardens
JM,=================,Waterhouse
JM,=================,Dunbeholden
JM,=================,Portmore United
JM,=================,Treasure Beach
JM,=================,Mount Pleasant Football Academy
JM,=================,Montego Bay United
JM,=================,Humble Lion
JM,=================,Vere United
JM,=================,Lime Hall Academy
PR,========================,Puerto Rico Islanders
TT,===============================,Caledonia AIA
TT,===============================,W Connection
CR,=======================,Sporting San José
CR,=======================,Puntarenas FC
CR,Alajuela,LD Alajuelense
CR,Heredia,Carmelita
CR,Cartago,CS Cartaginés
CR,Alajuela,Municipal Grecia
CR,San José,Guadalupe FC
CR,Heredia,CS Herediano
CR,Guanacaste,AD Municipal Liberia
CR,Limón,Limón FC
CR,San José,Municipal Pérez Zeledón
CR,Limón,Santos de Guápiles
CR,San José,Deportivo Saprissa
CR,San José,Universidad de Costa Rica
CR,San Carlos,AD San Carlos
CR,=======================,ADR Jicaral
CR,=======================,AD Guanacasteca
SV,==========================,I. Metapán
SV,==========================,Club Deportivo Águila
SV,==========================,Club Deportivo FAS
SV,==========================,Alianza FC
SV,==========================,Luis Ángel Firpo
GT,====================,CSD Municipal
GT,====================,Comunicaciones FC
GT,====================,Deportivo Mixco
GT,====================,Club Xelajú MC
GT,====================,Heredia Jaguares de Peten
GT,====================,Antigua GFC
GT,====================,Cobán Imperial
GT,====================,CD Guastatoya
GT,====================,Deportivo Iztapa
GT,====================,CD Malacateco
GT,====================,Deportivo Sanarate
GT,====================,Santa Lucía Cotzumalguapa
GT,====================,Deportivo Siquinalá
HN,=====================,CD Olimpia
HN,=====================,FC Motagua
HN,=====================,CD Marathón
HN,=====================,Real CD España
HN,=====================,CD Victoria
NI,=====================,Real Estelí
PA,========================,Chorrillo FC
PA,========================,Tauro FC
PA,========================,Club Deportivo Árabe Unido
PA,========================,San Francisco FC
PA,========================,CA Independiente de La Chorrera
PA,========================,Sporting San Miguelito
AL,===============================,KF Tirana
AL,===============================,FC Dinamo City
AL,===============================,FK Partizani Tirana
AL,===============================,KS Skënderbeu
AL,===============================,KS Flamurtari
AL,===============================,KF Vllaznia
AL,===============================,KS Besa
AL,===============================,KS Teuta
AL,===============================,KF Laçi
AL,===============================,FK Kukësi
AL,===============================,KS Luftëtari
AL,===============================,FC Kamza
AL,===============================,KS Kastrioti
AL,===============================,FK Bylis
AL,===============================,KF Elbasani
AL,===============================,AF Elbasani
AL,===============================,KF Tomori
AL,===============================,KF Apolonia
AL,===============================,KF Egnatia
AD,==========================,FC Lusitans
AD,==========================,Penya Encarnada
AD,==========================,FC Rànger's
AD,==========================,CF Esperança d'Andorra
AD,==========================,UE Sant Julià
AD,==========================,FC Santa Coloma
AD,==========================,UE Santa Coloma
AD,==========================,UE Engordany
AD,==========================,Atlètic Club d'Escaldes
AD,==========================,Inter Club d'Escaldes
AD,==========================,CE Carroi
AD,==========================,FC Ordino
AD,==========================,FC Encamp
AD,==========================,FS La Massana
AD,==========================,FC Pas de la Casa
AD,==========================,Constellació Esportiva (1998-2000)
AD,==========================,CE Principat (1989-2015)
AD,==========================,FC Andorra
AM,==========================,FC Yerevan
AM,==========================,FC Ararat Yerevan
AM,==========================,Ararat-Armenia FC
AM,==========================,FC BKMA Yerevan
AM,==========================,Alashkert FC
