country_code,region_name,club_name
CD,,AS Vita Club
EG,Cairo,Al Ahly
EG,Cairo,Al Mokawloon Al Arab
EG,Cairo,El Dakhleya
EG,Cairo,El Entag El Harby
EG,Cairo,ENPPI SC
EG,Cairo,Ittihad El Shorta
EG,Cairo,Tala'ea El Gaish
EG,Cairo,Wadi Degla
EG,Cairo,Pyramids FC
EG,====================================,Modern Sport FC
EG,====================================,National Bank SC
EG,====================================,ZED FC
EG,Giza,Zamalek
EG,====================================,Ceramica Cleopatra
EG,Alexandria,Al Ittihad Al Sakandary
EG,Alexandria,Haras El Hodood
EG,Alexandria,Smouha SC
EG,====================================,Pharco FC
EG,Ismailia,Ismaily
EG,Red Sea,El Gouna
EG,Gharbia,Ghazl El Mahalla
EG,====================================,Baladiyat El Mahalla
EG,Faiyum,Misr El Makasa
EG,Suez,Petrojet
EG,Beni Suef,Telephonat Bani Sweif
EG,====================================,Tanta SC
EG,====================================,Aswan SC
EG,====================================,Al Masry SC
MA,===============================,Raja Casablanca
MA,===============================,Wydad Casablanca
MA,===============================,CAY Berrechid
MA,===============================,JS Soualem
MA,===============================,RCA Zemamra
MA,===============================,SCC Mohammédia
MA,===============================,AS FAR
MA,===============================,FUS Rabat
MA,===============================,US Touarga
MA,===============================,MC Oujda
MA,===============================,RS Berkane
MA,===============================,IR Tanger
MA,===============================,MA Tétouan
MA,===============================,MAS Fès
MA,===============================,OC Safi
MA,===============================,HUS Agadir
ZA,,Highlands Park
ZA,,Kaizer Chiefs
ZA,,Orlando Pirates
ZA,,Bidwest Wits
ZA,,Moroka Swallows
ZA,,Cape Town City
ZA,,Cape Town Spurs
ZA,,SuperSport United
ZA,,Mamelodi Sundowns
ZA,,Baroka
ZA,,Polokwane City
ZA,,Black Leopards
ZA,,Bloemfontein Celtic
ZA,,Chippa United
ZA,,Maritzburg United
ZA,,Stellenbosch United
ZA,,AmaZulu	Durban
ZA,,Golden Arrows
ZA,,Royal AM
ZA,,Richards Bay FC
ZA,,TS Galaxy FC
TN,,Espérance Sportive de Tunis
TN,,JS Kairouanaise
TN,,US Monastir
TN,,Olympique de Béja
TN,,US Ben Guerdane
CN,=======================,Beijing Sinobo Guoan
CN,=======================,Beijing Renhe
CN,=======================,Shanghai Port FC
CN,=======================,Shanghai Greenland Shenhua
CN,=======================,Shanghai Shenxin
CN,=======================,Guangzhou FC
CN,=======================,Guangzhou City FC (2011-2023)
CN,=======================,Chongqing Dangdai Lifan
CN,=======================,Changchun Yatai
CN,=======================,Dalian Pro (2009-2024)
CN,=======================,Guizhou Hengfeng
CN,=======================,Zhejiang FC
CN,=======================,Shandong Taishan
CN,=======================,Hebei China Fortune
CN,=======================,Jiangsu Suning
CN,=======================,Shenzhen FC
CN,=======================,Shijiazhuang Ever Bright
CN,=======================,Tianjin Tigers
CN,=======================,Tianjin Tianhai (2006-2020)
CN,=======================,Wuhan Three Towns
CN,=======================,Wuhan Zall (2009-2023)
CN,=======================,Henan Jianye
CN,=======================,Liaoning FC
CN,=======================,Yanbian Funde
CN,=======================,Zhejiang Yiteng FC
CN,=======================,Qingdao Huanghai FC
CN,=======================,Qingdao West Coast
CN,=======================,Cangzhou Mighty
CN,=======================,Chengdu Rongcheng
CN,=======================,Meizhou Hakka FC
CN,=======================,Nantong Zhiyun FC
IN,,Northeast Utd
IN,,Jamshedpur
JP,==============================,FC Tokyo
JP,==============================,Tokyo Verdy
JP,==============================,Machida Zelvia
