country_code,region_name,club_name
SR,===================,SV Robinhood
UY,====================,Liverpool Montevideo
UY,====================,Nacional de Montevideo
UY,====================,Defensor Sporting
UY,====================,CA Peñarol
UY,====================,CA Cerro
UY,====================,Danubio FC
UY,====================,El Tanque Sisley
UY,====================,Centro Atlético Fénix
UY,====================,CS Miramar Misiones
UY,====================,Montevideo Wanderers
UY,====================,Racing CM
UY,====================,CA Rentistas
UY,====================,CA River Plate
UY,====================,Boston River
UY,====================,CA Progreso
UY,====================,Rampla Juniors
UY,====================,Montevideo City
UY,====================,La Luz FC
UY,====================,Juventud de Las Piedras
UY,====================,Cerro Largo
UY,====================,Sud América
UY,====================,Club Plaza Colonia de Deportes
UY,====================,CD Maldonado
VE,==========================,Caracas FC
VE,==========================,Deportivo La Guaira
VE,==========================,Deportivo Petare
VE,==========================,Estudiantes de Caracas
VE,==========================,Metropolitanos FC
VE,==========================,Atlético Venezuela
VE,==========================,Deportivo Táchira
VE,==========================,Zamora FC
VE,==========================,Deportivo Lara
VE,==========================,Deportivo Anzoátegui
VE,==========================,AC Mineros
VE,==========================,LALA FC
VE,==========================,Atlético El Vigía
VE,==========================,Llaneros Guanare
VE,==========================,Zulia FC
VE,==========================,Aragua FC
VE,==========================,Estudiantes de Mérida
VE,==========================,Tucanes FC
VE,==========================,Yaracuyanos FC
VE,==========================,Carabobo FC
VE,==========================,Trujillanos FC
VE,==========================,Academia Puerto Cabello
VE,==========================,Monagas Sport Club
VE,==========================,Portuguesa FC
VE,==========================,Rayo Zuliano
